NCTC10080	S. enterica
NCTC10081	S. enterica
NCTC10084	B. neotomae
NCTC10085	S. pyogenes
NCTC10087	E. coli
NCTC10089	E. coli
NCTC10090	E. coli
NCTC10093	B. abortus
NCTC10097	B. suis
NCTC10112	M. orale
NCTC10113	M. salivarium
NCTC10115	M. gallisepticum
NCTC10116	A. laidlawii
NCTC10117	M. fermentans
NCTC10118	M. bovirhinis
NCTC10119	M. pneumoniae
NCTC10121	M. hyorhinis
NCTC10122	M. bovigenitalium
NCTC10124	M. synoviae
NCTC10125	M. dispar
NCTC10129	M. arginini
NCTC10130	M. hyorhinis
NCTC10132	M. edwardii
NCTC10135	M. alkalescens
NCTC10138	A. axanthum
NCTC10139	M. pulmonis
NCTC10142	M. cynos
NCTC10146	M. canis
NCTC10147	M. conjunctivae
NCTC10148	M. equirhinis
NCTC10150	A. oculi
NCTC10151	M. ovipneumoniae
NCTC10153	M. meleagridis
NCTC10155	M. putrefaciens
NCTC10156	M. anatis
NCTC10162	M. arthritidis
NCTC10166	M. neurolyticum
NCTC10168	M. maculosum
NCTC10172	A. hippikon
NCTC10178	M. columbinum
NCTC10179	M. columborale
NCTC10181	M. citelli
NCTC10183	M. gallinaceum
NCTC10184	M. columbinasale
NCTC10185	M. iowae
NCTC10189	M. californicum
NCTC10194	M. glycophilum
NCTC10199	M. cloacale
NCTC10204	P. multocida
NCTC10206	C. matruchotii
NCTC10207	R. dentocariosa
NCTC10208	M. haemolytica
NCTC10210	R. rhodochrous
NCTC10211	S. marcescens
NCTC10212	N. animalis
NCTC10213	K. pneumoniae
NCTC10217	Y. pseudotuberculosis
NCTC10220	A. ureae
NCTC10221	A. ureae
NCTC10228	S. sp.
NCTC10231	S. gordonii
NCTC10232	S. oralis
NCTC10233	S. sp.
NCTC10234	S. suis
NCTC10237	S. suis
NCTC10238	S. dysgalactiae
NCTC10239	C. perfringens
NCTC10240	C. perfringens
NCTC10246	K. pneumoniae
NCTC10252	S. enterica
NCTC10254	C. matruchotii
NCTC10257	S. maltophilia
NCTC10258	S. maltophilia
NCTC10259	S. maltophilia
NCTC10261	K. oxytoca
NCTC10262	K. pneumoniae
NCTC10263	R. ornithinolytica
NCTC10271	M. flavescens
NCTC10275	Y. pseudotuberculosis
NCTC10278	Y. pseudotuberculosis
NCTC10279	E. coli
NCTC10283	A. crassa
NCTC10285	C. minutissimum
NCTC10286	P. alcalifaciens
NCTC10287	G. vaginalis
NCTC10288	C. minutissimum
NCTC10289	C. minutissimum
NCTC10293	M. (branhamella)
NCTC10294	N. cinerea
NCTC10295	B. denitrificans
NCTC10296	N. canis
NCTC10297	M. (branhamella)
NCTC10299	P. aeruginosa
NCTC10301	A. naeslundii
NCTC10304	a. genospecies
NCTC10305	A. haemolyticus
NCTC10306	A. haemolyticus
NCTC10307	A. junii
NCTC10308	A. johnsonii
NCTC10310	S. enterica
NCTC10314	K. pneumoniae
NCTC10316	B. suis
NCTC10317	K. pneumoniae
NCTC10319	S. pneumoniae
NCTC10321	S. dysgalactiae
NCTC10322	P. multocida
NCTC10323	P. multocida
NCTC10327	B. pumilus
